番号,単　語,品詞,意　味,用　例,チェック
1181,quality,名,品質　　　※in quality  質的に,Many of the goods in 100 yen shops are good quality.,
1182,question,名,質問、（試験の）問題,May I ask you a question?,
1183,quick,形,すばやい、速い,You need to be quick to play basketball.,
1184,quickly,副,すばやく、速く,We were able to quickly understand what our teacher said.,
1185,quiet,形,静かな、おとなしい,He is very shy and quiet.,
1186,quietly,副,静かに、黙って,Children were sitting quietly.,
1187,quite,副,とても、本当に,Japanese anime is quite popular in foreign countries.,
1188,quiz,名,テスト、クイズ,We have a quiz every morning.,
1189,rabbit,名,ウサギ,Alice saw a rabbit in the forest.,
1190,racket,名,ラケット,You need a racket to play tennis.,
1191,radio,名,ラジオ,I listen to English on the radio every day.,
1192,rain,動・名,雨（が降る）,It rained a lot last night.,
1193,rain forest,名,熱帯雨林,We should protect this rain forest.,
1194,rainbow,名,虹,I can see a rainbow over the mountains.,
1195,rainy,形,雨降りの、雨の多い,"If it’s rainy tomorrow, I will stay home.",
1196,raise,動,あげる,Please raise your hand.,
1197,reach,動,着く、到着する,We reached the top of the mountain.,
1198,read,動,読む、読書する　　【活用】 read - read - read,Please read Lesson 9 in the textbook.,
1199,reading,名,読むこと、読書,Reading is one of my hobbies.,
1200,ready,形,"用意（準備）ができて　　
※be ready for～　～の用意（準備）ができている",Are you ready?,
1201,real,形,本当の、本物の,I saw real gold for the first time.,
1202,realize,動,実感する、理解する,She realized she made a mistake.,
1203,really,副,本当に、実際に、ほんと、へえー,I'll really miss you. ,
1204,reason,名,理由、わけ,I agree with him.  I have three reasons.,
1205,receive,動,受け取る、もらう,I received an e-mail from John.,
1206,recipe,名,（料理などの）作り方、レシピ,This is a recipe for curry and rice.,
1207,recycle,動,再生する、再利用する,Our town recycles cans and bottles.,
1208,recycling,名,リサイクル（をすること）,Students collect paper for recycling every month.,
1209,red,名・形,赤(の),Red is the team color of the Hiroshima Carp.,
1210,reduce,動,減らす、減少させる,We should reduce waste.,
1211,refuse,動,拒否する、断る,I refused a plastic bag at the convenience store.,
1212,regular,形,規則的な、定期的な,Our club has regular meetings on Mondays.,
1213,relaxed,形,（人が）くつろいだ,"In winter, a kotatsu makes me relaxed.",
1214,remember,動,覚えている、思い出す,I remember my school days.,
1215,remind,動,思い出させる   ※remind A of B　 AにBを思い出させる,This picture reminds me of my school days.,
1216,rent,動,有料で借りる,We rented some DVDs from the shop yesterday.  ,
1217,rental,形,レンタルの、賃貸しの,"In many cities, there are rental bicycle stations.",
1218,repair,動,修理する、直す,Do you know how to repair a computer?,
1219,report,動・名,報告（する）、報告書,Write a report about this problem.,
1220,rescue,動,救い出す、救出する,There are robots to rescue people.,
1221,research,動・名,研究（する）、調査（する）,I'm doing research for my homework.,
1222,respect,動・名,尊敬（する）、尊重（する）,I respect him because he works for others.,
1223,rest,動・名,（動）休む、横になる　（名）休憩　　　　,You should rest.,
1224,restaurant,名,レストラン,This is a good restaurant.,
1225,restroom,名,（デパート・劇場などの）洗面所、トイレ,Where is the restroom?,
1226,result,名,結果,I got my test results yesterday.,
1227,return,動,帰る、戻る,We returned to school by bus.,
1228,reuse,動,再利用する,We should reuse these bottles.,
1229,rice,名,米、ごはん,I have rice and miso soup every day for breakfast.,
1230,rice ball,名,おにぎり,There are three rice balls in my lunch box.,
1231,rice cake,名,もち,We eat rice cake during the New Year’s holidays.,
1232,rich,形,豊かな、金持ちの,He is a rich man.,
1233,ride,動,乗る、乗って行く　,Can you ride a bike?,
1234,right,名・形・副,"①右（の、に）、右側　　　
②権利 ","①The boy on your right is Tom.
②Everyone has a right to learn.",
1324,right,名・形・副,"正しい（こと）、ちょうど     
※all right 大丈夫な　That's right. そのとおり　right now 今すぐ",You are right.,
1235,ring,動・名,"①（動）鳴る、響く
②（名）指輪","①The phone is ringing again.
②I bought a new ring.",
1236,rise,動・名,（動）上がる　　（名）上昇、増加,Look!  Smoke is rising over there.,
1237,risk,名,危険、恐れ,Don't be afraid of taking risks.,
1238,river,名,川,Let's go fishing in the river.,
1239,road,名,道路、道,This is the main road of this town.,
1240,robot,名,ロボット,My brother designs robots on computers.,
1241,rock,名,"①（音楽の）ロック　　
②岩、岩石","①I like rock music.
②We tried to move the rock, but it didn't move.",
1242,roof,名,屋根,The house with the black roof is my house.,
1243,room,名,部屋、室,I have a bed in my room.,
1244,rope,名,綱、ロープ,Catch the rope.,
1245,round,名・形,丸い（もの）、円形（の）,We are looking for a round table.,
1246,rugby,名,ラグビー,I like rugby the best.,
1247,rule,名,規則、ルール,You should follow the rules.,
1248,ruler,名,ものさし、定規,"I have three pens, five pencils and a ruler.",
1249,run,動,走る、走って行く　　【活用】 run - ran - run  　,He can run fast.,
1250,Russia,名,ロシア（連邦）,Russia is the largest country in the world.,
1251,sad,形,悲しい,Her story makes us sad.,
1252,safe,形,安全な,You must escape to a safe place.,
1253,safely,副,安全に,I hope you will go back home safely.,
1254,safety,名,安全,Stay here for your own safety.,
1255,salad,名,サラダ,I eat salad and bread for breakfast.,
1256,sale,名,安売り、バーゲンセール,Many shops have sales in January.,
1257,salt,名,塩、食塩,Please pass me the salt.,
1258,salty,形,塩辛い,This soup is too salty.,
1259,same,代・形,同じ（もの）、同一の,My brother and I have the same T-shirt.,
1260,sandwich,名,サンドイッチ,I have two sandwiches and an orange.,
1261,Saturday,名,土曜日,What's the plan for Saturday? ,
1262,save,動,"①救う、助ける　
②節約する","①The doctor saved the lives of many people.
②I'm saving money for the concert.",
1263,say,動,言う　　【活用】 say - said - said,My teacher said that we should work harder.,
1264,scene,名,場面、舞台,I like this scene of the movie.,
1265,schedule,名,予定（表）,I'll check my schedule for this weekend.,
1266,school,名,学校,Some students buy lunch at school.,
1267,school festival,名,文化祭,Our school festival is in November.,
1268,school lunch,名,給食,Many students like school lunch.,
1269,school trip,名,修学旅行,We visited Kyoto on our school trip.,
1270,science,名,理科、自然科学,Mr. Yoshida is our science teacher.,
1271,scientist,名,科学者,Do you want to be a scientist?,
1272,scold,動,しかる,I was scolded by my mother.,
1273,score,動・名,得点（する）,I got a high score on the English test.,
1274,screen,名,画面、スクリーン,Please look at the photos on this screen.,
1275,sea,名,海,I often go to the sea.,
1276,seafood,名,シーフード、海産物,I want to eat the seafood in Awaji Island.,
1277,season,名,季節,What season do you like?,
1278,seat,名,席、すわる物（所）,There are many seats for the students.,
1279,second,名・形・副,"①２番目（の）、第２に　　　　　
②秒","①My classroom is on the second floor.
②There are 60 seconds in a minute.",
1280,secret,名,秘密,Let's keep no secrets between us.,
1281,section,名,（切ってわけられた）部分、区域,Cut this cake into three sections.,
1282,see,動,"見る、見える、会う、わかる   　 ※I see. なるほど
Let's see　え～と　See you (soon).またね　　
【活用】 see - saw - seen",What do you see in this picture?,
1283,sell,動,売る、売っている　           　【活用】 sell - sold - sold,The bookstore sells some DVDs.,
1284,send,動,送る、（手紙などを）出す　　【活用】 send - sent - sent,Please send more pictures to me.,
1285,senior,形,年上の、上級の　　※senior high school　高校,I finished senior high school last spring.,
1286,sense,名,感覚、センス,My father has a good sense of humor.,
1287,separate,動,引き離す、分ける,We have to separate the garbage.,
1288,September,名,９月,"In America, school starts in September.",
1289,serious,形,重大な、（病状などが）重い,Global warming is a serious problem.,
1290,serve,動,（食事・飲み物）を出す,"After the plane takes off, dinner will be served.",
1291,set,動・名,"①（名）一式、（テニスなどの）セット
②（動）～を置く、設置する","①I bought a three-piece set of furniture.
②I set the dishes on the table.",
1292,seven,名・形,７(の),It is seven o'clock.,
1293,seventeen,名・形,１７(の),"When he came to Japan, he was only seventeen.",
1294,seventeenth,名・形,１７番目（の）,The room is on the seventeenth floor.,
1295,seventh,名・形,７番目(の),I am in the seventh grade.,
1296,seventy,名・形,７０(の),My grandmother is seventy years old.,
1297,several,形,いくつかの、いく人かの,There are several sushi restaurants in this town.,
1298,shake,動,振る、ゆさぶる　　　※shake hands　握手する,We usually shake hands when we meet.,
1299,shall,助,（私（たち）は）～するでしょう 　※Shall I (we)～?　～しましょうか,Shall I take your bags? ,
1300,shape,名,形、姿,"I like the shape, but I don't like the color.",
1301,share,動,いっしょに使う、共有する,Please share your ideas with your partner.,
1302,she,代,彼女は、彼女が,She was so hungry.,
1303,shine,動,光る、輝く,The moon was shining in the night sky.,
1304,ship,名,船,Large ships can pass under the Akashi Kaikyo Bridge.,
1305,shirt,名,ワイシャツ、シャツ,I bought this shirt in Hawaii.,
1306,shock,動・名,（動）衝撃を与える　　　（名）（精神的な）ショック　,The news shocked people.,
1307,shoe,名,くつ,Please take off your shoes here.,
1308,shop,名,小売店、店,Let's buy a new CD at that shop. ,
1309,shopping,名,買い物　　※go shopping     買い物に行く,I'll go shopping with my friends.,
1310,short,形,短い、背が低い,He is shorter than I.,
1311,should,助,～すべきである、～したほうがいい,What should I do? ,
1312,shoulder,名,肩,I have a pain in my shoulder.,
1313,shout,動,叫ぶ、大声で言う,People shouted the name of the player.,
1314,show,動・名,"①（動）見せる、示す   【活用】 show - showed - shown
②（名）（演芸などの）ショー、劇","①He showed me his family's photo.
②The Kobe fireworks show was wonderful.",
1315,shower,名,シャワー,You should take a shower.,
1316,shrine,名,神社、神宮、聖堂,"On New Year's Eve, we visited a shrine.",
1317,shut,動,閉める　　【活用】 shut- shut - shut　　※shut up ～　～を閉鎖する,She shut her book and stood up.,
1318,shy,形,恥ずかしがり屋の、内気な,He is very shy.,
1319,sick,形,病気の、病気で,I am sick.,
1320,side,名,横、わき、側面　　　,Please stand on the right side.,
1321,sightseeing,名,観光,Many foreigners visit Kobe for sightseeing.,
1322,sign,名,標識、看板,You can find many signs written in English in Kinosaki.,
1323,silent,形,静かな、沈黙の,You should be silent in libraries.,
1324,similar,形,似た　　　　※be similar to ～　～に似ている,Your opinion is similar to mine.,
1325,simple,形,簡単な、わかりやすい,The stories are simple and clear.,
1326,since,前・接,～から（ずっと）、～以来（ずっと）,I have played the guitar since I was eight.,
1327,sing,動,歌う　　【活用】 sing - sang - sung,She began to sing again.,
1328,Singapore,名,シンガポール,Singapore is a very small country.,
1329,singer,名,歌う人、歌手,She is a famous singer in Japan.,
1330,single,形,たった１つの,Her English was good.  There wasn't a single mistake.,
1331,sir,名,（男性に対する改まった呼びかけのことば）,"Can I help you, sir?",
1332,sister,名,姉妹、姉、妹,My older sister's name is Miki.,
1333,sit,動,座る、座っている　　※sit down 座る　【活用】 sit - sat - sat,Please sit down.,
1334,site,名,場所、遺跡,This is the site for the new school.,
1335,situation,名,状況、状態,I can understand your situation.,
1336,six,名・形,６（の）        ,We have six classes each day.,
1337,sixteen,名・形,１６（の）,"When I am sixteen years old, I will go to Australia.",
1338,sixteenth,名・形,１６番目（の）,She lives on the sixteenth floor.,
1339,sixth,名・形,６番目（の）,My sister is in the sixth grade.,
1340,sixty,名・形,６０（の）,She is sixty years old.,
1341,size,名,大きさ、サイズ,What's your size?,
1342,skate,動,スケートですべる、スケートをする,I like to skate.,
1343,ski,動,スキーをする,I go skiing every weekend in winter.,
1344,skiing,名,スキー,Skiing is one of the most popular winter sports.,
1345,skill,名,技術、技能,Try to improve your skills.,
1346,skin,名,皮膚、肌,I have dry skin.,
1347,sky,名,空,A bird is flying in the sky.,
1348,sleep,動,眠る、睡眠をとる　　【活用】 sleep - slept - slept,Did you sleep well last night?,
1349,sleepy,形,眠い、眠そうな,I’m sleepy.,
1350,slow,形,遅い、ゆっくりした,Please drive at a slow speed around here.,
1351,slowly,副,ゆっくりと,Please speak more slowly.,
1352,small,形,小さい,My room is very small.,
1353,smart,形,利口な、かしこい,Dogs are very smart.,
1354,smell,動,においがする,This flower smells nice.,
1355,smile,動・名,（動）ほほえむ、にっこり笑う　（名）ほほえみ、笑顔,We smile when we are happy.,
1356,smoke,名,煙,There is no smoke without fire.,
1357,snack,名,軽食、おやつ,Don't eat snacks before dinner.,
1358,snake,名,ヘビ,I don't like snakes.,
1359,sneaker,名,スニーカー,I'm looking for a nice pair of sneakers.,
1360,snow,動・名,雪（がふる）,Last year we had a lot of snow in the Tajima area.,
1361,snowy,形,雪の降る、雪の多い,It will be snowy this evening.,
1362,so,接・副,"①とても    　※so ～ that … (can't) とても～なので…（できない） 
②そのように
③だから、それで","①I was so sleepy that I went to bed early.
②I think so.
③He wanted to win the game, so he practiced harder.",
1363,soccer,名,サッカー,Soccer is my favorite sport.,
1364,social studies,名,社会科,My favorite subject is social studies.,
1365,society,名,社会,She wants to change the society. ,
1366,sofa,名,ソファー,I like sitting on a sofa and watching TV.,
1367,soft,形,やわらかい,Is your bed too soft for you?,
1368,softball,名,ソフトボール,"If it's sunny, we'll play softball tomorrow.",
1369,solar,形,太陽の,Solar energy is one of the clean energies.,
1370,solution,名,解決策,Education is one of the solutions to change the world.,
1371,solve,動,解決する,There are three ways to solve the problem.,
1372,some,代・形,"いくつか（の）、いくらか（の）　　
※Some～,　and others…　～する人がいれば、・・・する人もいる",I have some friends in America.,
1373,someday,副,いつか、そのうち,I want to study abroad someday.,
1374,someone,代,だれか,I'm looking for someone who can play baseball.,
1375,something,代,何か,I want something to drink.,
1376,sometimes,副,ときどき,I sometimes visit my grandmother.,
1377,somewhere,副,どこかに、どこかへ、どこかで,Let's go somewhere this Sunday.,
1378,son,名,息子,Our teacher has two sons.,
1379,song,名,歌,We enjoyed singing songs together.,
1380,soon,副,すぐに、まもなく,Spring will come soon.,
1381,sore throat,名,のどの痛み,I have a sore throat.,
1382,sorry,形・間,すまなく思って、残念に思って　※　I'm sorry. ごめんなさい,I'm sorry I'm late.,
1383,sound,動・名,"①（動）～に聞こえる　　※sound like～　～のように聞こえる　　　　　　　　　　　　　
②（名）音","①A: I'm going to Awaji Island this weekend.  B: That sounds nice.
②Don't make a sound.",
1384,soup,名,スープ,I have rice and miso soup for breakfast every morning.,
1385,south,名・形・副,南（の、へ）、南方,Many birds fly south in the winter.,
1386,souvenir,名,みやげ,I saw many souvenir shops in Tokyo.,
1387,soybean,名,大豆,Tofu is made from soybeans.,
1388,space,名,"①空間　
②宇宙","①There is not enough space for all these books.
②She is the first woman that went to space.",
1389,Spain,名,スペイン,I have never been to Spain.,
1390,Spanish,名・形,スペインの、スペイン人（の）、スペイン語（の）,I want to learn Spanish.,
1391,speak,動,話す　             　　　　　　　　    【活用】 speak - spoke - spoken,My sister can speak three languages.,
1392,speaker,名,話す人,She is a good speaker of English.,
1393,special,形,特別な,This book is very special to me.,
1394,speech,名,演説、スピーチ      　※make a speech  スピーチをする,I'm going to make a speech about my family.,
1395,speed,名,スピード,The cat ran at amazing speed.,
1396,spell,動,（～の語）をつづる,How do you spell “environment”?,
1397,spend,動,（時間を）過ごす、費やす         【活用】 spend - spent - spent,How do you spend your free time?,
1398,spirit,名,心、精神、気力、勇気,This is our school sprit.,
1399,spoon,名,スプーン,They don't use spoons when they eat.,
1400,sport,名,スポーツ              ,I like playing sports.,
1401,sports day,名,運動会、体育の日,Our school has sports day in September.,
1402,spot,名,場所、地点,Mt. Rokko and Mt. Maya are great night view spots.,
1403,spread,動,広げる、広がる,He spread his arms wide.,
1404,spring,名,春,You can enjoy the cherry blossoms in spring.,
1405,stadium,名,競技場,Hyogo has a famous baseball stadium called “Koshien”.,
1406,stage,名,舞台、ステージ,We sang a song on the stage at our school festival.,
1407,stairs,名,階段（複数形で使う）,She went up the stairs slowly.,
1408,stamp,名,切手,I need some stamps to send letters.,
1409,stand,動・名,"①（動）立つ、立っている　　　　【活用】 stand - stood - stood
②（名）（物などを置く）台","①Please stand up.
②I bought a nice book stand.",
1410,star,名,星,You can see different stars in different seasons.,
1411,start,動,始める、始まる,"In Japan, school starts in April.",
1412,station,名,駅,Let's meet at the station.,
1413,stay,動・名,滞在（する）、とどまる,I'm going to stay in France for a week.,
1414,steak,名,ステーキ,The steak he made was very delicious.,
1415,steal,動,盗む　　　　【活用】 steal - stole - stolen,Her watch was stolen.,
1416,step,動・名,"①（名）段階、（屋外の）階段
②（動）歩く、踏み出す","①Learning English is just the first step for me.
②Please step back.",
1417,still,副,まだ、今でも,"The building is very old, but it is still beautiful.",
1418,stomach,名,胃、腹,I have a pain in my stomach.,
1419,stomachache,名,胃痛、腹痛,I have a stomachache.,
1420,stone,名,石,The wall is made of stone.,
1421,stop,動・名,（動）止める、やめる　（名）中止、停止,You should stop talking when someone speaks.,
1422,store,名,店,There are a lot of stores along this street.,
1423,story,名,物語、話,This is a story about a doctor's life.,
1424,straight,副,まっすぐに,Go straight along this street.,
1425,strange,形,奇妙な,This is a very strange story.,
1426,street,名,通り、道,The post office is on the next street.,
1427,strong,形,強い,He is stronger than his brother.,
1428,strongly,副,強く,I am strongly against your idea.,
1429,student,名,生徒,"There are about 1,000 students in this school.",
1430,study,動・名,勉強（する）、研究（する）　　　　,I want to study abroad in the future.,
1431,style,名,スタイル、型,There are different styles of dance.,
1432,subject,名,教科、科目、（メールなどの）話題,English is my favorite subject.,
1433,subway,名,地下鉄,I take the subway to go to school every day.,
1434,success,名,成功,Working hard is the best way to success.,
1435,successful,形,成功した,Ichiro is a successful baseball player in America.,
1436,such,形,このような、そのような,Thank you for such a wonderful present.,
1437,suddenly,副,急に、突然,"Suddenly, it started to rain.",
1438,suffer,動,苦しむ,Many people suffered from the cold weather.,
1439,sugar,名,砂糖,We need sugar and salt.,
1440,suggest,動,提案する,They suggested that I should go alone.,
1441,summer,名,夏,I want to try something new this summer.,
1442,sumo wrestler,名,力士,There are a lot of sumo wrestlers from abroad.,
1443,sun,名,太陽,The earth goes around the sun.,
1444,Sunday,名,日曜日,On Sundays I cook lunch for my family.,
1445,sunflower,名,ひまわり,"In summer, you can see many sunflowers in the garden.",
1446,sunny,形,晴れた,"It is raining now, but it will be sunny in the afternoon.",
1447,sunset,名,日の入り,I like to watch beautiful sunsets.,
1448,supermarket,名,スーパー（マーケット）,A supermarket is near my house.,
1449,support,動・名,支持（する）、支援（する）,Some dogs support blind people.,
1450,sure,形・副,"①（副）もちろん
②（形）確信して  ※I'm sure (that) ～  きっと～だと思う","①A: Could you help me?  B: Sure.
②I'm sure you can do it.",
1451,surprise,動・名,（動）驚かす、びっくりさせる　　（名）驚くべきこと,What a surprise!,
1452,surprised,形,驚いて  ※be surprised at ～　～に驚く,I was surprised by the news.,
1453,surprising,形,驚くべき、すばらしい,That news is surprising.,
1454,surround,動,囲む、取り巻く,Japan is surrounded by the sea.,
1455,survey,名,調査,This is a survey about dream jobs for boys and girls.,
1456,survive,動,生き残る,They survived two wars.,
1457,sweater,名,セーター,I don't like this sweater so much.,
1458,sweet,名・形,"①（名）甘いもの、お菓子
②（形）甘い、（音・香りなどが）美しい、心地よい  ","①Kobe is famous for Western sweets.
②The cake is not too sweet.",
1459,swim,動,泳ぐ　　　　　　　　　【活用】 swim - swam - swum　,I always swim at Suma beach in summer.,
1460,swimming,名,水泳、泳ぐこと,Do you like swimming?,
1461,Sydney,名,シドニー,I visited Sydney with my aunt.,
1462,symbol,名,シンボル（マーク）、しるし,This bird is a symbol of Hyogo.,
1463,system,名,方式、体系的方法,That system isn't used now.,
1464,table,名,テーブル,Could you move this table with me?,
1465,table tennis,名,卓球,She is a good table tennis player.,
1466,Taiwan,名,台湾,There are a lot of delicious foods in Taiwan.,
1467,take,動,"①（手に）取る、持っていく、連れて行く　※take off ～　～を脱ぐ　
②乗る　
③（写真を）撮る
④（時間が）かかる　
⑤（～を）買う　※I'll take it. それをいただきます　
【活用】take - took - taken　","①Please take an umbrella with you. 
②I will take a train. 
③We took a picture on the beach.
④It will take ten minutes from here to the station.
⑤I'll take this shirt.",
1468,talent,名,才能,He has a talent for drawing pictures.,
1469,talk,動,話す　　　　※talk to(with) ～  ～と話す,A: May I talk to you now?  B: Sure.,
1470,tall,形,背が高い,I am the tallest in my family.,
1471,task,名,仕事、任務、課題,Robots can help old people with many everyday tasks.,
1472,taste,動・名,"①（動）～な味がする　　
②（名）味、味覚","①The cake tastes delicious.
②This orange has a bitter taste.",
1473,taxi,名,タクシー,Call me a taxi.,
1474,tea,名,茶、紅茶,I like tea better than coffee.,
1475,teach,動,教える　　　　【活用】 teach - taught - taught　,Ms. Saito teaches us math.,
1476,teacher,名,先生、教師,I want to be a teacher in the future.,
1477,team,名,チーム,I will try hard for our baseball team.,
1478,teammate,名,チームメイト,He is my teammate.,
1479,teamwork,名,チームワーク,I think teamwork is important.,
1480,tear,名,涙,I have never seen her tears.,
1481,technology,名,科学技術,The new technology will change our lifestyle.,
1482,tell,動,言う､教える　　　　　【活用】 tell - told - told,Please tell us about Hyogo.,
1483,temperature,名,温度、気温,What is the temperature here?,
1484,temple,名,寺,There are many temples in Kyoto.,
1485,ten,名・形,１０（の）,I have ten pencils.,
1486,tennis,名,テニス,Kei Nishikori is a famous tennis player.,
1487,tenth,名・形,１０番目（の）,The room is on the tenth floor.,
1488,terrible,形,恐ろしい、ひどい,Everyone was shocked to hear the terrible news.,
1489,test,名,試験、テスト,We will have a test tomorrow.,
1490,textbook,名,教科書,Open your textbook to page 3.,
1491,Thailand,名,タイ,Many Japanese people live in Thailand.,
1492,than,前・接,～よりも,I like English better than math.,
1493,thank,動・名,"感謝（する）、ありがとう　　　
※Thank you for ～.　～をありがとう  
No, thank you. いいえ、結構です",Thank you for your help with my homework.,
1494,that,代・形・接,"①（代・形）それ（あれ）、その（あの）　　　※That's right. そのとおり
②（代）～する（ところの）【前にある名詞を修飾する関係代名詞】
③（接）～ということ","①Who is that boy?
②The book that I read last night was interesting.
③I learned that we should do our best.",
1495,the,冠,その、あの,The woman is always kind to me.,
1496,theater,名,劇場,Let's go to a movie theater.,
1497,their,代,彼（彼女）らの、それらの,Children learn many things from their parents.,
1498,theirs,代,彼（彼女）らのもの、それらのもの,This soccer ball is theirs.,
1499,them,代,彼（彼女）を（に）、それらを（に）,I have two dogs.  I love them.,
1500,themselves,代,彼（彼女）ら自身        ※by themselves 彼ら自身で,They did it by themselves.,
1501,then,副・名,それでは、それから、その時,"I ate dinner, then washed my dishes.",
1502,there,副,そこに（で）　　　　　※over there  向こうに,I want to go to the library.  Do you know how to get there?,
1503,these,代・形,これら（の）,Can you carry these books for me?,
1504,they,代,彼（彼女）は（が）,They speak four main languages in Singapore.,
1505,thin,形,やせた,Our teacher is very thin.,
1506,thing,名,物、事,What is the most important thing to you?,
1507,think,動,"（～と）考える、（～だと）思う　  ※think of ～　～を思いつく
　【活用】 think - thought - thought  ",I think that he is right.,
1508,thinking,名,考え、思考,I like your way of thinking.,
1509,third,名・形,３番目（の）,This is my third visit to Kinosaki hot springs.,
1510,thirsty,形,のどがかわいた,I'm very thirsty.  Give me something to drink.,
1511,thirteen,名・形,１３（の）,There were thirteen people on the bus.,
1512,thirteenth,名・形,１３番目（の）,I live on the thirteenth floor.,
1513,thirtieth,名・形,３０番目（の）,My room is on the thirtieth floor.,
1514,thirty,名・形,３０（の）,It takes about thirty minutes to go to school.,
1515,this,代・形,これ、この,I love this book.,
1516,those,代・形,それら（の）、あれら（の）,Look at those beautiful stars.,
1517,though,接,～だけれども,"Though it was very cold, he went out without a coat.  ",
1518,thousand,名・形,１，０００（の）,A: How much is this?  B: It's one thousand yen.,
1519,three,名・形,３（の）,There are three people in my family.,
1520,through,前,～を通って、～を通して,I made a lot of friends through soccer.,
1521,throw,動,投げる　　　【活用】 throw - threw - thrown　　　,"For baseball, you throw the ball like this.",
1522,Thursday,名,木曜日,I take piano lessons on Thursdays.,
1523,ticket,名,切符、チケット,The tickets are sold over there.,
1524,tie,名,ネクタイ,I bought a tie for my father.,
1525,tiger,名,トラ,There are two tigers in this zoo.,
1526,time,名,"①時刻、時間　
②回、度　　
※for the first time  初めて   for a long time 長い間　　 
in time 遅れずに、やがて　　on time 時間どおりに","①Hurry up!  You don't have much time.
②I made an English speech for the first time.",
1527,tired,形,疲れて,"Today I ran 5,000 meters.  I am very tired.",
1528,to,前,（行き先・到着点）～へ（に）、（相手・対象）～に,I'm going to give some flowers to my mother.,
1529,today,副・名,今日（は）,I am fine today. ,
1530,together,副,いっしょに,Let's do the homework together.,
1531,toilet,名,トイレ、化粧室,Can I use the toilet?,
1532,tomato,名,トマト,I like tomatoes very much.,
1533,tomorrow,副・名,明日（は）,It will be rainy tomorrow.,
1534,tonight,副・名,今夜（は）,The stars are so beautiful tonight.,
1535,too,副,"①（～も）また　
②あまりに（～）すぎる　
※Me, too. 私も 　too ～ to …　あまりにも～なので…できない　","①A: I like dogs.  B: Me, too. 
②I am too tired to do this homework.",
1536,tool,名,手段、道具,English is a tool for communication.,
1537,tooth,名,歯　　【複数】 teeth,Brush your teeth before you go to bed.,
1538,toothache,名,歯痛,I have a toothache.  I need to see a dentist.,
1539,top,名・形,一番上の部分（の）、頂上（の）、てっぺん（の）,Can you see the top of Mt. Maya from here?,
1540,total,名,総計、合計　　　　※in total  合計で、全部で,"A: How much is it in total?  B: It's 3,000 yen.",
1541,touch,動・名,（動）触れる、触る　（名）接触,Don't touch this.  It's still hot.,
1542,tour,名,旅行、ツアー,The tour was exciting.,
1543,tournament,名,勝ち抜き戦、トーナメント,I will join the tennis tournament.,
1544,towel,名,手拭い、タオル,Whose towel is this?  I found it in the classroom.,
1545,tower,名,塔、タワー,There is a tall clock tower in my town.,
1546,town,名,町,There are two big parks in this town.,
1547,toy,名,おもちゃ,Kendama is a Japanese toy.,
1548,track,名,線路 、走路、トラック   　※track and field　 陸上競技,Take the train from Track No.1.,
1549,track and field,名,陸上競技,I'm in the track and field club.,
1550,tradition,名,伝統,Young people are always breaking traditions.,
1551,traditional,形,伝統的な,Banshu Kabuki is a traditional custom in Hyogo.,
1552,traffic light,名,交通信号（灯）,Turn right at the next traffic light.,
1553,train,名,電車,I go to school by train.,
1554,training,名,訓練　　　　※training center  訓練センター,There is a training center for teachers in my town.,
1555,travel,動・名,旅行（する）、旅（をする）,He traveled around the world.,
1556,treasure,名,重要なもの、宝物,My family is my treasure.,
1557,tree,名,木,There is a very old cherry tree in my town.,
1558,trick,名,いたずら、芸当、トリック,I know some magic tricks.,
1559,trip,名,旅行　　※go on a trip  旅行に出かける　　,My family went on a trip to Awaji Island last weekend.,
1560,trouble,名,面倒、困難、悩み　※be in trouble   困っている、悩んでいる,I am in trouble now.,
1561,true,形,本当の、真実の      ※come true  実現する,Finally his dream came true.,
1562,try,動,試す、やってみる　※try to ～　 ～しようとする　　try on 試着する,Let's try it again.,
1563,T-shirt,名,Tシャツ,I like your new T-shirt.  You look cool!,
1564,tube,名,チューブ（ロンドンの地下鉄のニックネーム）,I visited many places in London by using the tube. ,
1565,Tuesday,名,火曜日,"On Tuesdays, I have music class.",
1566,tuna,名,マグロ,I had tuna at the sushi restaurant.,
1567,turn,動・名,"①（動）曲がる､回る　　　※turn off ～　～を消す　　　
②（名）番、順番","①Turn right at the next corner.
②Now, it is your turn.",
1568,turtle,名,カメ,There are beautiful turtles in Hawaii.,
1569,TV,名,テレビ (Televisionの略）,I love watching TV.,
1570,twelfth,名・形,１２番目（の）,My brother is in the twelfth grade.,
1571,twelve,名・形,１２（の）,There are twelve pencils in this box.,
1572,twentieth,名・形,２０番目（の）,The restaurant is on the twentieth floor.,
1573,twenty,名・形,２０（の）,Twenty students are in this room.,
1574,twice,副,２度、２回、２倍(に),I have visited Himeji Castle twice.,
1575,two,名・形,２つ（の）,I have two sisters.,
1576,type,名,種類、タイプ,Do you read this type of book?,
1577,typhoon,名,台風,"In Japan, the typhoon season starts from the end of August.",
1578,uh,間,あー、えー,"A: What do you want to eat for lunch?  B: Uh, akashiyaki.",
1579,umbrella,名,傘,Take your umbrella with you.  It may rain in the afternoon.,
1580,uncle,名,おじ（父母の兄弟）,I had dinner with my uncle last week.,
1581,under,前,～の下に（で）,Let's have lunch under this tree.,
1582,underground,名,（イギリスの）地下鉄（アメリカでは、subway）,We went to the stadium by the underground.,
